REGIONC,DIVISION,METROMICRO,UATYP10,TYPEHUQ,CELLAR,BASEFIN,ATTIC,ATTICFIN,STORIES,PRKGPLC1,KOWNRENT,YEARMADERANGE,TOTROOMS,NCOMBATH,NHAFBATH,WALLTYPE,ROOFTYPE,DRAFTY,RECBATH,MONTUB,TVCOLOR,TVSIZE1,TVONWD1,TVONWE1,FUELHEAT,TEMPHOME,TEMPGONE,TEMPNITE,MOISTURE,USEMOISTURE,AIRCOND,COOLTYPE,AGECENAC,TEMPHOMEAC,TEMPGONEAC,TEMPNITEAC,BASECOOL,ATTCCOOL,GARGCOOL,NUMCFAN,NOTMOIST,HHSEX,HHAGE,EMPLOYHH,EDUCATION,NUMADULT,NUMCHILD,ATHOME,MONEYPY,ENERGYASST,CDD65,CLIMATE_REGION_PUB,HDD65,KWH,KWHTV1,KWHHTBPMP,KWHHTBHEAT,DOLLAREL,DOLELTV1,DOLELHTBPMP,DOLELHTBHEAT,CUFEETNG,DOLLARNG,GALLONLP,GALLONFO,TOTALDOL,WOODAMT
Northeast,New England,METRO,U,Single-family detached house,Yes,No,No,Not applicable,Two stories,No,Owned or being bought by someone in your household,1960 to 1969,5,1,1,Siding,Shingles (composition or asphalt),Some of the time,No,NA,2,28 to 39 inches,4 to 6 hours,7 to 10 hours,Fuel oil/kerosene,65,65,65,No,NA,Yes,Individual window/wall or portable units,Not applicable,74,80,74,No,Not applicable,Not applicable,1,No,Female,64,Employed full-time,Some college or Associate’s degree,1,0,0,"$40,000 - $59,999",No,771,Cold/Very Cold,6400,2469.205,245.559,0,0,568.07,56.08,0,0,0,0,0,525.808,1788.51,NA
Midwest,West North Central,METRO,U,Single-family detached house,No,Not applicable,No,Not applicable,One story,No,Rented,Before 1950,4,1,0,Stucco,Shingles (composition or asphalt),Some of the time,No,NA,2,40 to 59 inches,1 to 3 hours,1 to 3 hours,Electricity,70,64,68,No,NA,No,Not applicable,Not applicable,NA,NA,NA,Not applicable,Not applicable,Not applicable,2,No,Female,24,Employed full-time,Some college or Associate’s degree,1,0,5,"Less than $20,000",No,1706,Mixed-Humid,4007,11065.529,84.437,0,0,1034.54,7.89,0,0,78.531,226.3,0,0,1260.84,NA
South,East South Atlantic,METRO,C,Single-family detached house,No,Not applicable,Yes,No,One story,Yes,Rented,2010 to 2015,5,2,0,Brick,Shingles (composition or asphalt),Some of the time,No,NA,3,28 to 39 inches,4 to 6 hours,4 to 6 hours,Electricity,69,50,65,No,NA,Yes,Central air conditioning system,Less than 2 years old,70,75,69,Not applicable,No,No,5,No,Female,83,Not employed/retired,High school diploma or GED,1,0,5,"$20,000 - $39,999",No,2935,Hot-Humid,1327,14766.758,110.82,0,0,1844.84,13.84,0,0,7.634,7,0,0,1851.84,NA
Midwest,East North Central,METRO,U,Apartment in a building with 5 or more units,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Rented,1970 to 1979,4,1,0,Brick,Not applicable,Never,No,NA,2,28 to 39 inches,1 to 3 hours,4 to 6 hours,Electricity,66,55,55,Yes,2,Yes,Individual window/wall or portable units,Not applicable,80,80,75,Not applicable,Not applicable,Not applicable,0,No,Female,27,Employed full-time,"Bachelor’s degree (for example: BA, BS)",2,0,0,"$20,000 - $39,999",No,674,Cold/Very Cold,6449,6750.579,69.087,0,0,969.8,9.9,0,0,118.88,77,0,0,1046.8,NA
West,Mountain North,METRO,U,Single-family detached house,Yes,No,No,Not applicable,Two stories,Yes,Owned or being bought by someone in your household,2000 to 2009,10,2,1,Brick,Concrete tiles,Never,No,NA,3,40 to 59 inches,4 to 6 hours,4 to 6 hours,Natural gas from underground pipes,70,60,60,No,NA,Yes,Central air conditioning system,10 to 14 years old,70,80,70,Yes,Not applicable,No,2,No,Male,42,Employed full-time,"Master’s, Professional, or Doctorate degree (for example: MA, MS, MBA, MD, JD, PhD)",2,3,1,"$100,000 to $119,999",No,1053,Cold/Very Cold,5274,16585.761,243.164,0,0,2037,29.83,0,0,1119.81,709.95,0,0,2746.95,NA
South,West South Atlantic,METRO,U,Apartment in a building with 5 or more units,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Rented,2010 to 2015,6,2,1,Stucco,Not applicable,Never,No,NA,2,40 to 59 inches,4 to 6 hours,4 to 6 hours,Electricity,60,60,66,No,NA,Yes,Central air conditioning system,Less than 2 years old,68,70,66,Not applicable,Not applicable,Not applicable,4,No,Female,33,Not employed/retired,"Bachelor’s degree (for example: BA, BS)",2,3,5,"$120,000 to $139,999",No,3705,Hot-Humid,1013,20554.014,193.324,0,0,1886.68,17.73,0,0,0,0,0,0,1886.68,NA
South,South Atlantic,METRO,U,Mobile home,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Owned or being bought by someone in your household,1990 to 1999,6,2,0,Siding,Shingles (composition or asphalt),Some of the time,No,NA,4,40 to 59 inches,More than 10 hours,More than 10 hours,Propane (bottled gas),73,73,73,No,NA,Yes,Central air conditioning system,5 to 9 years old,72,72,72,Not applicable,Not applicable,Not applicable,4,No,Male,58,Not employed/retired,Some college or Associate’s degree,2,0,5,"$20,000 - $39,999",No,2019,Mixed-Humid,2446,11924,570.574,0,0,1562,74.74,0,0,0,0,147.591,0,1861.07,NA
Northeast,Middle Atlantic,METRO,U,Apartment in a building with 2 to 4 units,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Owned or being bought by someone in your household,Before 1950,5,1,0,Siding,Shingles (composition or asphalt),Some of the time,No,NA,4,27 inches or less,4 to 6 hours,1 to 3 hours,Natural gas from underground pipes,69,65,65,No,NA,No,Not applicable,Not applicable,NA,NA,NA,Not applicable,Not applicable,Not applicable,4,No,Female,59,Employed part-time,"Bachelor’s degree (for example: BA, BS)",3,3,0,"$40,000 - $59,999",No,609,Cold/Very Cold,6647,2297.369,54.534,0,0,493.79,11.63,0,0,457.779,546.28,0,0,1040.06,NA
West,Pacific,METRO,U,Single-family detached house,No,Not applicable,Yes,No,One story,Yes,Owned or being bought by someone in your household,1990 to 1999,5,2,0,Wood,Shingles (composition or asphalt),Never,No,NA,1,40 to 59 inches,4 to 6 hours,1 to 3 hours,Natural gas from underground pipes,70,70,60,No,NA,Yes,Central air conditioning system,20 years or older,72,72,72,Not applicable,No,No,3,No,Male,80,Not employed/retired,"Master’s, Professional, or Doctorate degree (for example: MA, MS, MBA, MD, JD, PhD)",2,0,5,"$60,000 to $79,999",No,521,Marine,3927,4732.068,156.716,0,0,638.81,21.08,0,0,548.313,552.56,0,0,1191.36,NA
South,South Atlantic,METRO,R,Single-family detached house,Yes,Yes,No,Not applicable,One story,No,Owned or being bought by someone in your household,1970 to 1979,5,2,0,Siding,Shingles (composition or asphalt),Most of the time,No,NA,2,60 inches or more,4 to 6 hours,4 to 6 hours,Fuel oil/kerosene,68,68,68,Yes,3,Yes,Individual window/wall or portable units,Not applicable,72,72,72,No,Not applicable,Not applicable,2,No,Female,26,Employed full-time,"Bachelor’s degree (for example: BA, BS)",2,1,5,"$100,000 to $119,999",No,1742,Mixed-Humid,4001,8973.455,298.114,0,0,1299.88,43.1,0,0,0,0,0,690.325,3070.57,4
West,Pacific,METRO,U,Single-family detached house,Yes,No,No,Not applicable,One story,No,Rented,Before 1950,7,1,0,Stucco,Concrete tiles,Most of the time,No,NA,2,40 to 59 inches,7 to 10 hours,7 to 10 hours,Natural gas from underground pipes,72,62,68,No,NA,No,Not applicable,Not applicable,NA,NA,NA,Not applicable,Not applicable,Not applicable,5,No,Male,27,Employed full-time,"Master’s, Professional, or Doctorate degree (for example: MA, MS, MBA, MD, JD, PhD)",2,0,2,"$100,000 to $119,999",No,420,Marine,2034,3677.314,303.558,0,0,652.99,53.64,0,0,557.226,844.95,0,0,1497.94,NA
South,South Atlantic,METRO,U,Single-family attached house,Yes,Yes,No,Not applicable,Two stories,No,Rented,1970 to 1979,8,1,1,Brick,Metal,Some of the time,No,NA,4,40 to 59 inches,7 to 10 hours,7 to 10 hours,Natural gas from underground pipes,75,75,70,No,NA,Yes,Individual window/wall or portable units,Not applicable,65,65,65,No,Not applicable,Not applicable,1,No,Female,41,Employed full-time,High school diploma or GED,4,0,5,"$40,000 - $59,999",No,1548,Mixed-Humid,4089,16276.03,320.637,0,0,1353.22,26.66,0,0,809.909,957.19,0,0,2310.41,NA
Midwest,East North Central,METRO,U,Single-family detached house,Yes,Yes,No,Not applicable,One story,Yes,Owned or being bought by someone in your household,1970 to 1979,9,2,0,Brick,Shingles (composition or asphalt),Some of the time,No,NA,3,40 to 59 inches,4 to 6 hours,4 to 6 hours,Natural gas from underground pipes,72,69,70,Yes,5,Yes,Central air conditioning system,5 to 9 years old,75,80,72,No,Not applicable,No,4,No,Female,85,Not employed/retired,Some college or Associate’s degree,1,1,5,"$20,000 - $39,999",No,781,Cold/Very Cold,6014,5523.941,187.795,0,0,775.36,26.36,0,0,945.552,828.48,0,0,1603.83,NA
South,South Atlantic,METRO,U,Apartment in a building with 5 or more units,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Rented,2000 to 2009,5,2,0,Siding,Not applicable,Never,No,NA,2,40 to 59 inches,1 to 3 hours,4 to 6 hours,Electricity,74,74,74,No,NA,Yes,Central air conditioning system,10 to 14 years old,71,74,71,Not applicable,Not applicable,Not applicable,0,No,Female,85,Not employed/retired,"Bachelor’s degree (for example: BA, BS)",1,0,0,"$20,000 - $39,999",No,1369,Mixed-Humid,3981,7794,140.025,0,0,909,16.33,0,0,0,0,0,0,909,NA
Midwest,East North Central,METRO,U,Single-family detached house,Yes,Yes,No,Not applicable,Two stories,Yes,Owned or being bought by someone in your household,2000 to 2009,8,2,1,Siding,Shingles (composition or asphalt),Never,No,NA,1,40 to 59 inches,1 to 3 hours,7 to 10 hours,Natural gas from underground pipes,68,68,68,No,NA,Yes,Central air conditioning system,5 to 9 years old,73,73,74,Yes,Not applicable,No,0,No,Male,40,Not employed/retired,Some college or Associate’s degree,2,4,5,"$80,000 to $99,999",No,597,Cold/Very Cold,6461,10495.739,149.728,0,0,1589.41,22.64,0,0,910.706,686.07,0,0,2275.48,NA
Northeast,Middle Atlantic,METRO,U,Single-family attached house,No,Not applicable,Yes,No,Two stories,No,Owned or being bought by someone in your household,1980 to 1989,5,2,1,Siding,Wood shingles/shakes,All the time,No,NA,2,28 to 39 inches,1 to 3 hours,1 to 3 hours,Electricity,72,68,72,Yes,5,Yes,Central air conditioning system,20 years or older,74,76,74,Not applicable,No,Not applicable,0,No,Female,49,Employed full-time,"Bachelor’s degree (for example: BA, BS)",1,0,0,"$100,000 to $119,999",No,1205,Mixed-Humid,4876,11845.598,52.55,0,0,2117.68,9.38,0,0,0,0,0,0,2117.68,NA
South,South Atlantic,METRO,U,Single-family detached house,Yes,No,Yes,No,Two stories,Yes,Owned or being bought by someone in your household,1970 to 1979,9,1,1,Siding,Shingles (composition or asphalt),Some of the time,No,NA,2,28 to 39 inches,More than 10 hours,More than 10 hours,Natural gas from underground pipes,68,62,62,Yes,4,Yes,Both a central system and individual units,20 years or older,70,76,70,No,No,No,0,No,Female,67,Employed part-time,"Bachelor’s degree (for example: BA, BS)",2,0,5,"$40,000 - $59,999",No,1382,Mixed-Humid,4612,10648.085,306.997,0,0,1492.81,42.97,0,0,621.7,741.98,0,0,2234.78,NA
South,South Atlantic,METRO,R,Single-family detached house,No,Not applicable,Yes,No,One story,No,Owned or being bought by someone in your household,1970 to 1979,5,1,0,Siding,Shingles (composition or asphalt),Some of the time,No,NA,2,28 to 39 inches,More than 10 hours,More than 10 hours,Electricity,68,68,68,No,NA,Yes,Individual window/wall or portable units,Not applicable,68,68,68,Not applicable,No,Not applicable,2,No,Male,66,Not employed/retired,High school diploma or GED,2,0,5,"$40,000 - $59,999",No,1780,Mixed-Humid,3585,14263.18,302.976,0,0,1887.48,40.04,0,0,0,0,0,0,1887.48,NA
South,South Atlantic,METRO,U,Single-family detached house,No,Not applicable,No,Not applicable,One story,Yes,Owned or being bought by someone in your household,1960 to 1969,9,3,0,Concrete or concrete block,Shingles (composition or asphalt),Never,No,NA,2,28 to 39 inches,4 to 6 hours,4 to 6 hours,Natural gas from underground pipes,74,70,70,No,NA,Yes,Central air conditioning system,2 to 4 years old,74,74,74,Not applicable,Not applicable,No,1,No,Female,78,Not employed/retired,"Master’s, Professional, or Doctorate degree (for example: MA, MS, MBA, MD, JD, PhD)",2,0,5,"Less than $20,000",No,2936,Hot-Humid,892,12714.271,175.018,0,0,1924.93,26.5,0,0,262.958,415.91,0,0,2340.84,NA
Northeast,Middle Atlantic,METRO,C,Single-family detached house,Yes,Yes,Yes,No,Two stories,Yes,Owned or being bought by someone in your household,1950 to 1959,7,2,1,Siding,Shingles (composition or asphalt),Never,No,NA,1,40 to 59 inches,4 to 6 hours,4 to 6 hours,Natural gas from underground pipes,68,65,65,Yes,12,Yes,Central air conditioning system,20 years or older,70,70,70,Yes,No,No,4,Yes,Female,66,Employed full-time,Some college or Associate’s degree,1,0,0,"$20,000 - $39,999",No,540,Cold/Very Cold,7218,12340.971,187.693,0,0,1507.29,22.92,0,0,1101.66,1778.36,0,0,3285.65,NA
West,Mountain South,METRO,U,Single-family detached house,No,Not applicable,No,Not applicable,Two stories,Yes,Owned or being bought by someone in your household,2000 to 2009,6,3,0,Stucco,Ceramic or clay tiles,Never,No,NA,2,28 to 39 inches,7 to 10 hours,7 to 10 hours,Natural gas from underground pipes,70,70,71,No,NA,Yes,Central air conditioning system,Less than 2 years old,80,80,79,Not applicable,Not applicable,No,1,No,Female,58,Employed full-time,"Bachelor’s degree (for example: BA, BS)",2,0,1,"$40,000 - $59,999",No,4833,Hot-Dry/Mixed-Dry,739,13160.886,178.15,0,0,1805.28,24.4,0,0,166.3,403.68,0,0,2208.97,NA
South,West South Atlantic,METRO,U,Single-family detached house,No,Not applicable,No,Not applicable,One story,Yes,Owned or being bought by someone in your household,1950 to 1959,5,1,0,Brick,Other,Some of the time,No,NA,1,28 to 39 inches,More than 10 hours,More than 10 hours,Natural gas from underground pipes,80,80,80,No,NA,Yes,Central air conditioning system,Less than 2 years old,80,80,80,Not applicable,Not applicable,No,4,No,Female,60,Employed part-time,Some college or Associate’s degree,2,0,5,"Less than $20,000",No,3616,Hot-Humid,1301,9212.142,303.427,0,0,1014.14,33.34,0,0,559.597,452.22,0,0,1466.36,NA
Northeast,Middle Atlantic,METRO,U,Apartment in a building with 5 or more units,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Rented,Before 1950,5,1,0,Brick,Not applicable,All the time,No,NA,4,28 to 39 inches,4 to 6 hours,4 to 6 hours,Electricity,65,65,70,No,NA,No,Not applicable,Not applicable,NA,NA,NA,Not applicable,Not applicable,Not applicable,0,No,Female,50,Not employed/retired,"Bachelor’s degree (for example: BA, BS)",1,0,3,"Less than $20,000",No,774,Cold/Very Cold,5401,4267.968,173.597,0,0,723.85,29.32,0,0,68.842,83,0,0,806.85,NA
Northeast,Middle Atlantic,METRO,U,Apartment in a building with 5 or more units,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Owned or being bought by someone in your household,1970 to 1979,4,1,1,Wood,Not applicable,Never,No,NA,1,28 to 39 inches,7 to 10 hours,7 to 10 hours,Electricity,73,70,70,No,NA,Yes,Central air conditioning system,Less than 2 years old,72,78,72,Not applicable,Not applicable,Not applicable,0,No,Female,84,Not employed/retired,"Bachelor’s degree (for example: BA, BS)",1,0,5,"$40,000 - $59,999",No,959,Mixed-Humid,5411,8204,178.311,0,0,1268,27.56,0,0,0,0,0,0,1268,NA
South,South Atlantic,METRO,U,Single-family attached house,No,Not applicable,No,Not applicable,Two stories,Yes,Owned or being bought by someone in your household,1970 to 1979,6,2,1,Shingle (composition),Wood shingles/shakes,Some of the time,No,NA,1,40 to 59 inches,1 to 3 hours,1 to 3 hours,Electricity,68,62,67,No,NA,Yes,Central air conditioning system,5 to 9 years old,75,85,70,Not applicable,Not applicable,No,4,No,Male,37,Employed full-time,"Master’s, Professional, or Doctorate degree (for example: MA, MS, MBA, MD, JD, PhD)",1,0,2,"$80,000 to $99,999",No,1959,Mixed-Humid,2616,14131.819,84.465,0,0,1695.58,10.13,0,0,0,0,0,0,1695.58,NA
Northeast,Middle Atlantic,METRO,U,Single-family attached house,Yes,Yes,No,Not applicable,Two stories,No,Owned or being bought by someone in your household,Before 1950,6,1,1,Brick,Other,Some of the time,No,NA,2,40 to 59 inches,4 to 6 hours,7 to 10 hours,Natural gas from underground pipes,70,68,70,No,NA,Yes,Individual window/wall or portable units,Not applicable,66,80,66,No,Not applicable,Not applicable,1,No,Female,53,Employed full-time,Some college or Associate’s degree,2,0,1,"$40,000 - $59,999",No,1495,Mixed-Humid,4588,2982.857,219.154,0,0,525.49,38.61,0,0,657.589,1025.08,0,0,1550.57,NA
South,East South Atlantic,METRO,U,Single-family detached house,No,Not applicable,Yes,Yes,One story,Yes,Owned or being bought by someone in your household,1980 to 1989,9,2,0,Brick,Wood shingles/shakes,Never,No,NA,4,28 to 39 inches,4 to 6 hours,4 to 6 hours,Electricity,70,65,65,No,NA,No,Not applicable,Not applicable,NA,NA,NA,Not applicable,Not applicable,Not applicable,5,No,Male,50,Not employed/retired,Some college or Associate’s degree,3,0,5,"$20,000 - $39,999",No,2921,Hot-Humid,1288,18036.833,111.504,0,0,2281.96,14.11,0,0,0,0,0,0,2281.96,NA
South,East South Atlantic,NONE,R,Single-family detached house,No,Not applicable,No,Not applicable,One story,Yes,Owned or being bought by someone in your household,1970 to 1979,7,2,0,Brick,Shingles (composition or asphalt),Never,No,NA,3,60 inches or more,7 to 10 hours,7 to 10 hours,Natural gas from underground pipes,68,68,68,No,NA,Yes,Central air conditioning system,15 to 19 years old,70,70,70,Not applicable,Not applicable,No,2,No,Female,70,Employed full-time,High school diploma or GED,2,0,5,"$20,000 - $39,999",No,1871,Mixed-Humid,2826,8658.848,496.506,0,0,1012.8,58.07,0,0,596,493.48,0,0,1506.28,NA
West,Mountain North,METRO,R,Single-family detached house,No,Not applicable,No,Not applicable,One story,No,Owned or being bought by someone in your household,2000 to 2009,8,1,0,Siding,Metal,Some of the time,No,NA,2,28 to 39 inches,1 to 3 hours,4 to 6 hours,Wood (cordwood or pellets),60,55,58,No,NA,No,Not applicable,Not applicable,NA,NA,NA,Not applicable,Not applicable,Not applicable,4,No,Female,63,Employed full-time,"Master’s, Professional, or Doctorate degree (for example: MA, MS, MBA, MD, JD, PhD)",1,0,2,"$40,000 - $59,999",No,682,Cold/Very Cold,5400,5477,72.791,0,0,468,6.22,0,0,0,0,303.486,0,1014.86,5
South,South Atlantic,METRO,U,Single-family detached house,No,Not applicable,No,Not applicable,One story,No,Rented,1970 to 1979,6,1,0,Siding,Shingles (composition or asphalt),Never,No,NA,4,28 to 39 inches,More than 10 hours,More than 10 hours,Electricity,72,72,72,No,NA,Yes,Individual window/wall or portable units,Not applicable,70,70,70,Not applicable,Not applicable,Not applicable,0,No,Female,55,Not employed/retired,Less than high school diploma or GED,1,2,5,"Less than $20,000",No,1998,Mixed-Humid,2511,22015,661.218,0,0,2439,73.26,0,0,0,0,0,0,2439,NA
Midwest,West North Central,METRO,U,Single-family detached house,Yes,Yes,No,Not applicable,Two stories,Yes,Owned or being bought by someone in your household,1950 to 1959,6,2,0,Brick,Wood shingles/shakes,Some of the time,No,NA,4,40 to 59 inches,4 to 6 hours,1 to 3 hours,Natural gas from underground pipes,71,71,72,No,NA,Yes,Central air conditioning system,10 to 14 years old,77,77,77,Yes,Not applicable,Yes,1,No,Male,60,Not employed/retired,Some college or Associate’s degree,4,1,5,"$120,000 to $139,999",No,1584,Mixed-Humid,4262,18936.824,160.488,0,0,2018.35,17.11,0,0,1210.047,1135.88,0,0,3154.23,NA
Midwest,West North Central,METRO,U,Single-family detached house,Yes,No,Yes,No,One story,Yes,Owned or being bought by someone in your household,Before 1950,6,1,2,Stone,Shingles (composition or asphalt),Some of the time,No,NA,1,28 to 39 inches,1 to 3 hours,1 to 3 hours,Natural gas from underground pipes,70,68,68,Yes,3,Yes,Central air conditioning system,20 years or older,74,74,70,No,No,No,1,Yes,Female,62,Employed part-time,"Master’s, Professional, or Doctorate degree (for example: MA, MS, MBA, MD, JD, PhD)",1,0,5,"Less than $20,000",No,1507,Mixed-Humid,4115,15903.73,52.983,0,0,1560.79,5.19,0,0,723.95,604.42,0,0,2165.21,0.5
